ID,bias,label
229,none,none
230,gender,hate
231,none,hate
232,none,none
233,others,hate
234,gender,hate
235,gender,none
236,none,hate
237,none,hate
238,none,none
239,others,hate
240,gender,hate
241,gender,hate
242,gender,none
243,none,none
244,none,none
245,others,hate
246,none,hate
247,none,none
248,none,hate
249,none,none
250,none,none
251,none,hate
252,none,hate
253,none,hate
254,none,none
255,none,none
256,none,hate
257,none,hate
258,gender,hate
259,gender,hate
260,none,hate
261,none,hate
262,gender,hate
263,none,hate
264,others,hate
265,none,none
266,none,hate
267,gender,hate
268,none,none
269,none,none
270,none,none
271,gender,none
272,none,hate
273,none,hate
274,none,none
275,none,none
276,others,hate
277,none,hate
278,none,hate
279,others,none
280,others,hate
281,gender,hate
282,gender,hate
283,none,none
284,none,none
285,none,none
286,none,hate
287,gender,hate
288,none,none
289,none,none
290,others,hate
291,none,hate
292,others,hate
293,none,none
294,others,none
295,none,hate
296,gender,hate
297,none,hate
298,none,none
299,none,hate
300,gender,hate
301,gender,hate
302,none,hate
303,none,hate
304,none,none
305,none,hate
306,none,none
307,none,hate
308,none,hate
309,none,hate
310,none,hate
311,others,hate
312,gender,none
313,gender,hate
314,gender,hate
315,none,hate
316,none,none
317,gender,hate
318,others,none
319,none,hate
320,none,hate
321,none,hate
322,none,hate
323,none,hate
324,none,hate
325,others,hate
326,none,hate
327,none,hate
328,others,hate
329,none,hate
330,gender,hate
331,none,none
332,none,hate
333,none,hate
334,none,hate
335,none,none
336,none,none
337,others,none
338,none,hate
339,none,hate
340,none,hate
341,none,hate
342,gender,hate
343,none,hate
344,none,hate
345,none,hate
346,none,hate
347,others,hate
348,gender,none
349,none,hate
350,none,none
351,none,hate
352,gender,hate
353,none,hate
354,none,none
355,none,hate
356,none,hate
357,others,hate
358,gender,hate
359,others,hate
360,none,none
361,others,hate
362,none,hate
363,none,hate
364,none,hate
365,gender,hate
366,none,hate
367,others,hate
368,none,hate
369,none,hate
370,others,hate
371,none,hate
372,none,hate
373,none,hate
374,gender,hate
375,none,none
376,gender,hate
377,none,none
378,none,hate
379,none,hate
380,none,hate
381,none,hate
382,others,none
383,none,none
384,none,none
385,none,none
386,none,hate
387,none,none
388,gender,hate
389,none,hate
390,none,none
391,none,hate
392,none,none
393,gender,hate
394,others,hate
395,none,hate
396,gender,hate
397,none,none
398,none,none
399,none,hate
400,none,none
401,gender,none
402,none,hate
403,none,hate
404,others,hate
405,none,hate
406,none,none
407,gender,hate
408,none,hate
409,none,hate
410,none,none
411,others,hate
412,gender,none
413,none,hate
414,none,hate
415,gender,none
416,gender,hate
417,none,hate
418,none,hate
419,others,hate
420,others,none
421,none,hate
422,none,hate
423,none,hate
424,gender,hate
425,none,none
426,none,hate
427,others,hate
428,none,none
429,gender,hate
430,none,hate
431,none,hate
432,gender,hate
433,none,hate
434,none,hate
435,none,hate
436,none,hate
437,others,hate
438,gender,hate
439,none,hate
440,none,none
441,none,hate
442,others,hate
443,others,none
444,none,hate
445,others,hate
446,gender,hate
447,gender,none
448,none,none
449,gender,hate
450,none,hate
451,none,none
452,none,hate
453,none,hate
454,none,hate
455,gender,hate
456,none,none
457,none,hate
458,gender,hate
459,none,hate
460,none,hate
461,none,hate
462,none,hate
463,none,hate
464,gender,hate
465,none,hate
466,others,hate
467,none,none
468,others,hate
469,none,hate
470,gender,hate
471,gender,none
472,none,hate
473,none,hate
474,gender,hate
475,none,none
476,gender,hate
477,others,none
478,gender,hate
479,none,hate
480,none,hate
481,none,hate
482,others,hate
483,gender,none
484,none,none
485,none,hate
486,none,none
487,none,hate
488,none,none
489,none,none
490,none,none
491,others,hate
492,none,hate
493,none,hate
494,none,none
495,gender,hate
496,none,none
497,none,hate
498,gender,hate
499,others,hate
500,none,hate
501,others,hate
502,none,none
503,none,hate
504,others,hate
505,none,hate
506,none,hate
507,none,none
508,others,hate
509,none,hate
510,none,hate
